,date,Open,High,Low,Close,bitcoin
0,2015-01-01 00:00:00,321.0,321.0,319.04,319.66,0.102370826432
1,2015-01-01 01:00:00,319.76,319.76,317.5,317.5,0.0760025832605
2,2015-01-01 02:00:00,318.54,318.82,317.54,317.87,0.0868600951548
3,2015-01-01 03:00:00,318.42,318.59,317.56,318.39,0.0806558026438
4,2015-01-01 04:00:00,318.39,318.39,313.55,314.0,0.0822068757716
5,2015-01-01 05:00:00,314.0,314.0,312.6,313.98,0.0806558026438
6,2015-01-01 06:00:00,313.98,315.8,313.98,315.2,0.0682472176217
7,2015-01-01 07:00:00,315.14,317.11,314.34,315.7,0.072900437005
8,2015-01-01 08:00:00,315.7,316.27,314.34,316.27,0.0620429251106
9,2015-01-01 09:00:00,316.01,318.25,315.0,316.64,0.0604918519828
10,2015-01-01 10:00:00,316.64,317.3,314.41,315.63,0.0697982907494
11,2015-01-01 11:00:00,315.63,315.96,314.72,315.57,0.0542875594718
12,2015-01-01 12:00:00,315.57,316.93,315.57,316.83,0.0558386325995
13,2015-01-01 13:00:00,316.83,317.37,316.09,316.22,0.0573897057273
14,2015-01-01 14:00:00,317.15,317.27,313.68,315.12,0.0604918519828
15,2015-01-01 15:00:00,315.23,315.97,313.24,313.24,0.0651450713661
16,2015-01-01 16:00:00,315.35,315.52,313.24,314.93,0.0635939982384
17,2015-01-01 17:00:00,315.44,315.89,315.0,315.45,0.0651450713661
18,2015-01-01 18:00:00,315.45,315.95,315.0,315.38,0.0697982907494
19,2015-01-01 19:00:00,315.39,315.4,314.93,315.4,0.0697982907494
20,2015-01-01 20:00:00,315.4,315.98,313.6,315.54,0.0760025832605
21,2015-01-01 21:00:00,315.56,316.0,314.36,314.36,0.0760025832605
22,2015-01-01 22:00:00,314.57,316.49,314.36,315.45,0.0868600951548
23,2015-01-01 23:00:00,315.27,316.55,313.61,313.81,0.0868600951548
24,2015-01-02 00:00:00,313.81,314.8,311.96,313.26,0.111677265199
25,2015-01-02 01:00:00,313.26,315.59,312.24,315.59,0.0853090220271
26,2015-01-02 02:00:00,315.59,315.59,314.94,315.34,0.102370826432
27,2015-01-02 03:00:00,315.34,315.99,314.34,315.67,0.0822068757716
28,2015-01-02 04:00:00,315.67,315.99,313.82,315.98,0.0853090220271
29,2015-01-02 05:00:00,315.82,315.99,315.2,315.75,0.0915133145381
30,2015-01-02 06:00:00,315.77,315.94,314.2,315.22,0.0853090220271
31,2015-01-02 07:00:00,315.26,315.26,312.02,312.02,0.0775536563883
32,2015-01-02 08:00:00,313.89,314.89,312.44,314.88,0.072900437005
33,2015-01-02 09:00:00,314.28,314.89,313.61,314.1,0.079104729516
34,2015-01-02 10:00:00,314.1,315.0,313.77,315.0,0.0760025832605
35,2015-01-02 11:00:00,314.84,315.14,314.3,314.3,0.0697982907494
36,2015-01-02 12:00:00,314.93,315.42,314.3,315.01,0.0682472176217
37,2015-01-02 13:00:00,315.01,317.01,315.01,315.57,0.0666961444939
38,2015-01-02 14:00:00,315.55,316.19,315.01,315.9,0.072900437005
39,2015-01-02 15:00:00,315.89,316.83,315.0,315.03,0.0697982907494
40,2015-01-02 16:00:00,315.66,316.34,314.25,314.49,0.0697982907494
41,2015-01-02 17:00:00,314.67,316.17,313.45,314.84,0.0682472176217
42,2015-01-02 18:00:00,315.59,316.4,314.87,315.95,0.0744515101327
43,2015-01-02 19:00:00,315.95,316.48,315.88,316.1,0.079104729516
44,2015-01-02 20:00:00,316.2,316.83,314.06,316.65,0.079104729516
45,2015-01-02 21:00:00,316.65,316.65,313.5,315.11,0.079104729516
46,2015-01-02 22:00:00,314.6,316.06,314.31,315.92,0.0837579488993
47,2015-01-02 23:00:00,315.9,316.64,315.0,315.42,0.0837579488993
