4.751386820484358210e-03,2.690096611584357270e-02,4.426031129263583754e-03,2.812082477738700459e-02,2.799576790248929636e-02
4.994685232409544311e-03,4.318097471946081949e-03,4.732426530782226845e-03,2.115556660101757316e-02,2.852002559082973676e-02
4.554261822582655189e-03,4.327759646791092506e-03,4.672965923565658257e-03,2.422816361137251559e-02,2.787608483285074906e-02
4.972154686557912415e-03,4.457528012267307493e-03,4.587896663067312156e-03,2.344818411649919609e-02,2.821075970093712623e-02
4.397424051004006178e-03,4.386336200058678185e-03,4.400130155003897231e-03,2.127738222480616767e-02,2.820474532644768467e-02
4.264529822901926698e-03,4.459350488053451765e-03,4.476022273815825556e-03,2.597234139061953967e-02,2.816029024081489682e-02
4.340978361236120554e-03,4.296680453409264765e-03,4.479029582254089384e-03,1.947672458931122216e-02,2.807013125076089632e-02
4.276583541414376473e-03,4.453636409437120025e-03,4.554767225673995480e-03,1.713972666631445943e-02,2.756826853010186165e-02
4.309279543272245827e-03,4.324789263073391087e-03,4.461560810029180715e-03,2.095644227535558429e-02,2.835583316946397453e-02
4.323786423920088738e-03,4.321888939750224978e-03,4.397885593580739931e-03,1.218923197213733940e-02,2.788060416747575182e-02
4.494101521597641292e-03,4.432950556512871114e-03,4.440109723051564178e-03,2.211558701008421723e-02,2.783801960607186488e-02
